Company,Price,PreviousPrice,Change,ChangePct,Date
JUBS,50.1,51.1,-1.0,-1.96,2026-06-08
MTL,552.63,563.63,-11.0,-1.95,2026-06-08
ZIL,349.96,343.25,6.71,1.95,2026-06-08
SSGC,26.31,26.83,-0.52,-1.94,2026-06-08
LOADS,13.23,13.49,-0.26,-1.93,2026-06-08
NML-JUN,142.85,145.65,-2.8,-1.92,2026-06-08
MUGHAL-JUN,76.56,78.05,-1.49,-1.91,2026-06-08
CHCC,281.29,286.74,-5.45,-1.9,2026-06-08
STCL,11.43,11.65,-0.22,-1.89,2026-06-08
PIAHCLA,25.63,26.12,-0.49,-1.88,2026-06-08
ASL,12.06,12.29,-0.23,-1.87,2026-06-08
GHNI,921.69,939.14,-17.45,-1.86,2026-06-08
QUET,14.87,15.15,-0.28,-1.85,2026-06-08
BFBIO,137.79,140.38,-2.59,-1.84,2026-06-08
OTSU,280.55,285.8,-5.25,-1.84,2026-06-08
HBL,280.47,285.69,-5.22,-1.83,2026-06-08
BNL-JUN,6.99,7.12,-0.13,-1.83,2026-06-08
PPL-JUNB,226.42,230.61,-4.19,-1.82,2026-06-08
SUTM,108.95,110.97,-2.02,-1.82,2026-06-08
TBL,10.31,10.5,-0.19,-1.81,2026-06-08
UNITY-JUN,11.42,11.63,-0.21,-1.81,2026-06-08
IGIHL,240.79,236.51,4.28,1.81,2026-06-08
LPGL,100.88,99.09,1.79,1.81,2026-06-08
ARPAK,117.43,119.6,-2.17,-1.81,2026-06-08
DGKC,193.65,197.2,-3.55,-1.8,2026-06-08
DGKC-JUN,195.25,198.79,-3.54,-1.78,2026-06-08
TELE,8.38,8.53,-0.15,-1.76,2026-06-08
ACPL,227.11,231.19,-4.08,-1.76,2026-06-08
AGL-JUN,46.05,46.87,-0.82,-1.75,2026-06-08
MERIT,10.17,10.35,-0.18,-1.74,2026-06-08
ASC,10.76,10.95,-0.19,-1.74,2026-06-08
PPL,224.82,228.73,-3.91,-1.71,2026-06-08
PIAHCLA-JUN,25.84,26.29,-0.45,-1.71,2026-06-08
PAKOXY,270.16,274.84,-4.68,-1.7,2026-06-08
NBP-JUN,182.72,185.86,-3.14,-1.69,2026-06-08
RPL,15.68,15.95,-0.27,-1.69,2026-06-08
INIL,154.61,157.27,-2.66,-1.69,2026-06-08
CNERGY-JUL,8.2,8.34,-0.14,-1.68,2026-06-08
WAHDAT,18.51,18.82,-0.31,-1.65,2026-06-08
EPCLPS,12.3,12.1,0.2,1.65,2026-06-08
BOP-JUN,33.49,34.05,-0.56,-1.64,2026-06-08
SSOM,411.45,418.29,-6.84,-1.64,2026-06-08
EPCL-JUN,33.16,33.71,-0.55,-1.63,2026-06-08
KEL,7.89,8.02,-0.13,-1.62,2026-06-08
TOMCL-JUN,34.05,34.61,-0.56,-1.62,2026-06-08
AVN-JUNB,33.39,33.94,-0.55,-1.62,2026-06-08
JATM,23.19,23.57,-0.38,-1.61,2026-06-08
BOP,33.25,33.79,-0.54,-1.6,2026-06-08
NBP,181.29,184.24,-2.95,-1.6,2026-06-08
NML,141.93,144.23,-2.3,-1.59,2026-06-08
POWER-JUN,20.43,20.76,-0.33,-1.59,2026-06-08
AVN,33.12,33.65,-0.53,-1.58,2026-06-08
CTM,7.55,7.67,-0.12,-1.56,2026-06-08
WTL-JUN,1.27,1.29,-0.02,-1.55,2026-06-08
SKRS,27.54,27.97,-0.43,-1.54,2026-06-08
GHNI-JUN,930.05,944.62,-14.57,-1.54,2026-06-08
NBPGETF,30.62,31.1,-0.48,-1.54,2026-06-08
SEL,31.74,32.23,-0.49,-1.52,2026-06-08
HICL,10.42,10.58,-0.16,-1.51,2026-06-08
GTYR,28.76,29.2,-0.44,-1.51,2026-06-08
JLICL,169.29,171.88,-2.59,-1.51,2026-06-08
HBL-JUNB,283.46,287.79,-4.33,-1.5,2026-06-08
SEARL-JUN,90.3,91.66,-1.36,-1.48,2026-06-08
MRNS,61.43,62.35,-0.92,-1.48,2026-06-08
ANL,10.07,10.22,-0.15,-1.47,2026-06-08
ISL,76.98,78.13,-1.15,-1.47,2026-06-08
SPEL,43.62,44.27,-0.65,-1.47,2026-06-08
CNERGY-JUN,8.11,8.23,-0.12,-1.46,2026-06-08
SEARL,89.6,90.93,-1.33,-1.46,2026-06-08
DWSM,6.74,6.84,-0.1,-1.46,2026-06-08
MACFL,60.82,59.95,0.87,1.45,2026-06-08
UDPL,113.26,114.93,-1.67,-1.45,2026-06-08
CRTM,70.01,71.03,-1.02,-1.44,2026-06-08
PREMA-JUN,33.67,34.16,-0.49,-1.43,2026-06-08
GVGL,56.52,57.34,-0.82,-1.43,2026-06-08
BNL,6.96,7.06,-0.1,-1.42,2026-06-08
ACIETF,16.62,16.86,-0.24,-1.42,2026-06-08
EPCL,32.88,33.35,-0.47,-1.41,2026-06-08
TOMCL,33.79,34.27,-0.48,-1.4,2026-06-08
BFAGRO,33.13,33.6,-0.47,-1.4,2026-06-08
SPWL,9.22,9.35,-0.13,-1.39,2026-06-08
IDYM,143.83,141.91,1.92,1.35,2026-06-08
SPSL,19.91,20.18,-0.27,-1.34,2026-06-08
PREMA,33.45,33.9,-0.45,-1.33,2026-06-08
HAEL,22.5,22.8,-0.3,-1.32,2026-06-08
FCEL,5.23,5.3,-0.07,-1.32,2026-06-08
MEHT,219.9,222.85,-2.95,-1.32,2026-06-08
ITTEFAQ,8.27,8.38,-0.11,-1.31,2026-06-08
ISL-JUN,77.67,78.7,-1.03,-1.31,2026-06-08
HPL,3999.54,4052.5,-52.96,-1.31,2026-06-08
SNGP,97.55,98.83,-1.28,-1.3,2026-06-08
JSCL,20.52,20.79,-0.27,-1.3,2026-06-08
SNGP-JUN,98.36,99.66,-1.3,-1.3,2026-06-08
FFL,17.61,17.84,-0.23,-1.29,2026-06-08
GLAXO,346.42,350.87,-4.45,-1.27,2026-06-08
TREET,24.2,24.51,-0.31,-1.26,2026-06-08
UBLPETF,39.18,39.68,-0.5,-1.26,2026-06-08
BLUEX,6.29,6.37,-0.08,-1.26,2026-06-08
BAPL,33.33,33.75,-0.42,-1.24,2026-06-08
CNERGY,8.05,8.15,-0.1,-1.23,2026-06-08
TPLRF1-JUN,8.2,8.1,0.1,1.23,2026-06-08
DADX,110.15,111.52,-1.37,-1.23,2026-06-08
RMPL,9506.0,9624.46,-118.46,-1.23,2026-06-08
WAVESAPP,9.09,8.98,0.11,1.22,2026-06-08
ENGROH,259.0,262.21,-3.21,-1.22,2026-06-08
TREET-JUN,24.37,24.67,-0.3,-1.22,2026-06-08
FFL-JUN,17.76,17.98,-0.22,-1.22,2026-06-08
AICL,73.05,73.95,-0.9,-1.22,2026-06-08
HALEON,753.05,762.32,-9.27,-1.22,2026-06-08
NITGETF,36.61,37.06,-0.45,-1.21,2026-06-08
UBL,394.76,399.57,-4.81,-1.2,2026-06-08
HUBC-JUNB,213.46,216.02,-2.56,-1.19,2026-06-08
NRSL,33.09,33.49,-0.4,-1.19,2026-06-08
SITC,872.45,882.94,-10.49,-1.19,2026-06-08
NICL,200.01,197.68,2.33,1.18,2026-06-08
ATRL,862.21,872.46,-10.25,-1.17,2026-06-08
LUCK,426.49,431.5,-5.01,-1.16,2026-06-08
GGL-JUN,20.38,20.62,-0.24,-1.16,2026-06-08
SYM-JUN,10.21,10.33,-0.12,-1.16,2026-06-08
ADAMS,63.2,63.94,-0.74,-1.16,2026-06-08
BAFL-JUNC,58.07,58.74,-0.67,-1.14,2026-06-08
ATRL-JUN,868.85,878.83,-9.98,-1.14,2026-06-08
PAKRI,15.68,15.86,-0.18,-1.13,2026-06-08
MIRKS,30.58,30.93,-0.35,-1.13,2026-06-08
ARPL,385.64,390.0,-4.36,-1.12,2026-06-08
PAKT,1320.53,1335.5,-14.97,-1.12,2026-06-08
SUHJ,96.06,95.0,1.06,1.12,2026-06-08
ISIL,1918.3,1940.0,-21.7,-1.12,2026-06-08
FCSC,5.34,5.4,-0.06,-1.11,2026-06-08
DOL,31.13,31.48,-0.35,-1.11,2026-06-08
JGICL,72.0,72.81,-0.81,-1.11,2026-06-08
DSL,5.51,5.45,0.06,1.1,2026-06-08
BAFL,57.71,58.35,-0.64,-1.1,2026-06-08
AGL,45.88,46.39,-0.51,-1.1,2026-06-08
UBL-JUNB,398.08,402.51,-4.43,-1.1,2026-06-08
INDU,2010.51,2032.8,-22.29,-1.1,2026-06-08
UPFL,25737.98,26024.5,-286.52,-1.1,2026-06-08
LUCK-JUN,429.9,434.62,-4.72,-1.09,2026-06-08
ARCTM,28.17,28.48,-0.31,-1.09,2026-06-08
SCL,756.97,765.34,-8.37,-1.09,2026-06-08
TCORP,22.84,23.09,-0.25,-1.08,2026-06-08
HUBC,211.85,214.12,-2.27,-1.06,2026-06-08
FCCL,52.93,53.49,-0.56,-1.05,2026-06-08
SFL,1005.48,995.0,10.48,1.05,2026-06-08
EFERT,198.32,200.4,-2.08,-1.04,2026-06-08
AIRLINK-JUN,155.33,153.73,1.6,1.04,2026-06-08
LSEFSL,22.31,22.08,0.23,1.04,2026-06-08
SURC,137.5,138.94,-1.44,-1.04,2026-06-08
FCCL-JUN,53.35,53.9,-0.55,-1.02,2026-06-08
FECTC,98.83,99.85,-1.02,-1.02,2026-06-08
JSGBETF,38.84,39.24,-0.4,-1.02,2026-06-08
PKGI,18.5,18.69,-0.19,-1.02,2026-06-08
PABC,106.1,107.19,-1.09,-1.02,2026-06-08
WAFI,193.89,195.88,-1.99,-1.02,2026-06-08
MDTL,5.88,5.94,-0.06,-1.01,2026-06-08
AIRLINK,154.17,152.63,1.54,1.01,2026-06-08
BIFO,130.79,132.12,-1.33,-1.01,2026-06-08
OLPL,49.0,49.5,-0.5,-1.01,2026-06-08
ATIL,74.28,75.03,-0.75,-1.0,2026-06-08
BATA,965.57,975.3,-9.73,-1.0,2026-06-08
EFERT-JUNB,200.0,202.0,-2.0,-0.99,2026-06-08
SAZEW-JUNB,2127.71,2148.89,-21.18,-0.99,2026-06-08
TGL-JUN,176.8,178.56,-1.76,-0.99,2026-06-08
ASL-JUN,12.25,12.37,-0.12,-0.97,2026-06-08
HINOON,968.97,978.5,-9.53,-0.97,2026-06-08
MCB-JUNB,407.01,411.0,-3.99,-0.97,2026-06-08
INIL-JUN,156.61,158.15,-1.54,-0.97,2026-06-08
FCL,23.89,24.12,-0.23,-0.95,2026-06-08
PASM,8.33,8.41,-0.08,-0.95,2026-06-08
NATF,355.68,359.08,-3.4,-0.95,2026-06-08
FCL-JUN,24.06,24.29,-0.23,-0.95,2026-06-08
ASHT,34.89,34.56,0.33,0.95,2026-06-08
ENGROH-JUN,261.38,263.86,-2.48,-0.94,2026-06-08
LSECL,5.5,5.45,0.05,0.92,2026-06-08
PRL-JUN,34.48,34.8,-0.32,-0.92,2026-06-08
TOWL,116.92,118.0,-1.08,-0.92,2026-06-08
AGIL,166.62,168.16,-1.54,-0.92,2026-06-08
NONS,86.86,87.67,-0.81,-0.92,2026-06-08
FIBLM,11.12,11.02,0.1,0.91,2026-06-08
NESTLE,7660.04,7730.19,-70.15,-0.91,2026-06-08
PRL,34.18,34.49,-0.31,-0.9,2026-06-08
KAPCO,27.41,27.66,-0.25,-0.9,2026-06-08
SYS,146.66,147.97,-1.31,-0.89,2026-06-08
MIIETF,16.87,17.02,-0.15,-0.88,2026-06-08
TGL,178.62,177.08,1.54,0.87,2026-06-08
UNIC,12.49,12.6,-0.11,-0.87,2026-06-08
ABL,180.24,181.82,-1.58,-0.87,2026-06-08
NRL,361.6,364.66,-3.06,-0.84,2026-06-08
FFC-JUNB,558.14,562.87,-4.73,-0.84,2026-06-08
KPUS,2441.08,2420.84,20.24,0.84,2026-06-08
PSO-JUN,352.01,354.92,-2.91,-0.82,2026-06-08
NRL-JUN,364.12,367.12,-3.0,-0.82,2026-06-08
OCTOPUS,31.93,31.67,0.26,0.82,2026-06-08
SHNI,7.29,7.35,-0.06,-0.82,2026-06-08
MEBL,485.33,489.31,-3.98,-0.81,2026-06-08
DINT,56.26,56.72,-0.46,-0.81,2026-06-08
SAZEW,2115.41,2132.39,-16.98,-0.8,2026-06-08
ICL,139.17,140.29,-1.12,-0.8,2026-06-08
WTL,1.27,1.28,-0.01,-0.78,2026-06-08
PACE,11.53,11.62,-0.09,-0.77,2026-06-08
FNEL,1.31,1.3,0.01,0.77,2026-06-08
OGDC-JUNB,320.27,322.75,-2.48,-0.77,2026-06-08
FANM,6.53,6.48,0.05,0.77,2026-06-08
BIPL-JUL,25.95,26.15,-0.2,-0.76,2026-06-08
ZTL,17.44,17.57,-0.13,-0.74,2026-06-08
BBFL,45.73,46.07,-0.34,-0.74,2026-06-08
