Company,Date,Price
AGIC,2026-03-18,35.03
AGIL,2026-03-18,134.7
APL,2026-03-18,526.28
BAFL,2026-03-18,108.69
BAHL,2026-03-18,152.0
CHCC,2026-03-18,249.52
COLG,2026-03-18,1124.29
DGKC,2026-03-18,162.82
EFERT,2026-03-18,204.91
EPCL,2026-03-18,32.41
FATIMA,2026-03-18,130.26
FFC,2026-03-18,493.61
HBL,2026-03-18,257.2
HMB,2026-03-18,106.12
HUBC,2026-03-18,197.13
ISL,2026-03-18,73.45
KAPCO,2026-03-18,27.04
KEL,2026-03-18,7.73
LPL,2026-03-18,18.24
LUCK,2026-03-18,356.53
MARI,2026-03-18,618.45
MCB,2026-03-18,372.64
MLCF,2026-03-18,83.22
NCL,2026-03-18,33.08
NCPL,2026-03-18,60.96
NESTLE,2026-03-18,7899.0
NPL,2026-03-18,66.25
OGDC,2026-03-18,279.75
PNSC,2026-03-18,438.8
POL,2026-03-18,641.3
PPL,2026-03-18,219.37
PSO,2026-03-18,368.85
SYS,2026-03-18,127.0
TGL,2026-03-18,141.42
TRG,2026-03-18,47.76
UBL,2026-03-18,374.07
UNITY,2026-03-18,8.57
AABS,2026-03-19,870.62
ABL,2026-03-19,170.07
ABOT,2026-03-19,924.53
ACPL,2026-03-19,269.24
AGIC,2026-03-19,35.03
AGIL,2026-03-19,134.7
APL,2026-03-19,526.28
BAFL,2026-03-19,108.69
BAHL,2026-03-19,152.0
CHCC,2026-03-19,249.52
COLG,2026-03-19,1124.29
DGKC,2026-03-19,162.82
EFERT,2026-03-19,204.91
EPCL,2026-03-19,32.41
FATIMA,2026-03-19,130.26
FFC,2026-03-19,493.61
HBL,2026-03-19,257.2
HMB,2026-03-19,106.12
HUBC,2026-03-19,197.13
ISL,2026-03-19,73.45
KAPCO,2026-03-19,27.04
KEL,2026-03-19,7.73
LPL,2026-03-19,18.24
LUCK,2026-03-19,356.53
MARI,2026-03-19,618.45
MCB,2026-03-19,372.64
MLCF,2026-03-19,83.22
NCL,2026-03-19,33.08
NCPL,2026-03-19,60.96
NESTLE,2026-03-19,7899.0
NPL,2026-03-19,66.25
OGDC,2026-03-19,279.75
PNSC,2026-03-19,438.8
POL,2026-03-19,641.3
PPL,2026-03-19,219.37
PSO,2026-03-19,368.85
SYS,2026-03-19,127.0
TGL,2026-03-19,141.42
