date,symbol,ldcp,open,high,low,close,change,change_pct,volume
2026-03-26,BOP-MARB,26.63,26.40,26.49,25.59,25.67,-0.96,-3.60%,"7,603,000"
2026-03-26,UNITY-APR,8.65,8.58,8.74,8.30,8.32,-0.33,-3.82%,"6,813,500"
2026-03-26,HUMNL,11.80,11.71,11.79,11.00,11.07,-0.73,-6.19%,"6,686,809"
2026-03-26,PAEL,39.00,38.60,38.89,36.40,36.63,-2.37,-6.08%,"6,527,362"
2026-03-26,PACE,10.32,10.25,10.39,9.45,9.53,-0.79,-7.66%,"6,412,814"
2026-03-26,MLCF,85.85,84.10,84.98,80.08,80.65,-5.20,-6.06%,"6,267,655"
2026-03-26,DGKC,170.91,166.45,169.60,162.00,162.73,-8.18,-4.79%,"6,153,714"
2026-03-26,ANL,9.58,9.80,10.42,9.10,9.74,0.16,1.67%,"6,028,452"
2026-03-26,TRSM,18.91,19.54,20.67,17.02,18.09,-0.82,-4.34%,"5,936,137"
2026-03-26,NCPL-APR,65.17,64.00,64.50,61.00,61.27,-3.90,-5.98%,"5,727,500"
2026-03-26,FCCL-APR,42.37,41.80,41.95,40.65,40.89,-1.48,-3.49%,"5,701,000"
2026-03-26,PPL-APRB,222.37,221.10,221.10,210.56,212.36,-10.01,-4.50%,"5,615,000"
2026-03-26,PPL-MARB,220.39,217.99,219.49,209.00,210.62,-9.77,-4.43%,"5,600,000"
2026-03-26,FFL,15.48,15.40,15.69,15.02,15.10,-0.38,-2.45%,"5,512,040"
2026-03-26,SSGC-MAR,22.56,22.31,22.31,20.75,21.44,-1.12,-4.96%,"5,428,000"
2026-03-26,UNITY-MAR,8.58,8.46,8.66,8.20,8.25,-0.33,-3.85%,"5,286,500"
2026-03-26,PTC,55.63,55.20,55.90,51.50,52.04,-3.59,-6.45%,"5,214,021"
2026-03-26,PAEL-MAR,39.02,38.60,38.75,36.41,36.67,-2.35,-6.02%,"5,198,000"
2026-03-26,SSGC-APR,22.77,22.30,22.37,21.50,21.60,-1.17,-5.14%,"5,165,000"
2026-03-26,PPL,220.45,219.00,219.35,209.00,210.88,-9.57,-4.34%,"5,094,295"
